Category_JP,Category_EN,Screen_JP,Screen_EN,Functions_JP,Functions_EN,Phase,Status
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,マーケットプレイストップページ,Marketplace Top Page,スタジオ検索機能/人気スタジオ表示/キャンペーン情報,Studio search function/Popular studios display/Campaign information,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,スタジオ検索結果,Studio Search Results,検索結果一覧/地図表示/フィルタリング機能,Search results list/Map display/Filtering function,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,スタジオ詳細ページ,Studio Detail Page,基本情報・写真・動画/レッスンスケジュール/口コミ・評価,Basic info photos videos/Lesson schedule/Reviews and ratings,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,予約・決済ページ,Booking & Payment Page,体験レッスン予約/オンライン決済/予約確認,Trial lesson booking/Online payment/Booking confirmation,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,顧客マイページ,Customer My Page,予約履歴/お気に入りスタジオ/ポイント管理,Booking history/Favorite studios/Point management,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,スタジオ出店管理,Studio Listing Management,スタジオページ編集/写真・動画アップロード/SEO設定,Studio page editing/Photo and video upload/SEO settings,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,プロモーション管理,Promotion Management,クーポン発行/キャンペーン設定/ターゲティング配信,Coupon issuance/Campaign settings/Targeted distribution,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,マーケットプレイス分析,Marketplace Analytics,アクセス解析/予約分析/ROI測定,Access analysis/Booking analysis/ROI measurement,Phase 2,Deferred
マーケットプレイス【ホットペッパー型】,Marketplace【Hot Pepper Type】,アフィリエイト管理,Affiliate Management,パートナー登録/成果報酬設定/成果レポート,Partner registration/Performance-based reward settings/Performance reports,Phase 2,Deferred
全般,General,ログイン,Login,ユーザー認証/パスワードリセット/多要素認証,User authentication/Password reset/Multi-factor authentication,Phase 1,Active
