Category,Major Category,Sub Category,Feature Name,Overview,Current Status,Priority,Notes,Additional Feature Flag
Platform Management,Super Admin,Tenant Management,Tenant List & Search,Display/search/filter all tenants (dance studios),New Development,Highest,Multi-tenant foundation,
Platform Management,Super Admin,Tenant Management,Tenant Registration & Editing,New tenant onboarding/information update,New Development,Highest,Multi-tenant foundation,
Platform Management,Super Admin,Tenant Management,Tenant Status Management,Status management for active/inactive/trial period/cancelled,New Development,Highest,Multi-tenant foundation,
Platform Management,Super Admin,Tenant Management,Tenant Deletion & Archive,Safe deletion process based on data retention policy,New Development,High,Multi-tenant foundation,
Platform Management,Super Admin,Contract & Billing Management,Subscription Management,Contract plan management for each tenant (Basic/Professional/Enterprise),New Development,Highest,SaaS revenue foundation,
Platform Management,Super Admin,Contract & Billing Management,Usage Monitoring,Monitor storage usage/API calls/active users,New Development,Highest,SaaS revenue foundation,
Platform Management,Super Admin,Contract & Billing Management,Invoice Issuance,Automatic generation and delivery of monthly/annual invoices,New Development,Highest,SaaS revenue foundation,
Platform Management,Super Admin,Contract & Billing Management,Payment Status Management,Payment confirmation/unpaid warning/automatic suspension process,New Development,Highest,SaaS revenue foundation,
Platform Management,Super Admin,Platform Analytics,Overall Usage Statistics,Platform-wide KPIs (total members/total sales/activity rate etc),New Development,High,Industry benchmark,
Platform Management,Super Admin,Platform Analytics,Tenant Comparison Analysis,Performance comparison and benchmarking between tenants,New Development,High,Industry benchmark,
Platform Management,Super Admin,Platform Analytics,Growth Trend Analysis,Visualization of new tenant acquisition rate/churn rate/revenue growth rate,New Development,Medium,Industry benchmark,
Platform Management,Super Admin,Platform Analytics,Anomaly Detection,Early detection of fraudulent use and system anomalies,New Development,Medium,Security,
Platform Management,Super Admin,System Management,Master Data Management,Centralized management of common masters (region/language/currency etc),New Development,High,Multi-tenant foundation,
Platform Management,Super Admin,System Management,Feature Flag Management,Feature enable/disable control per tenant,New Development,High,Multi-tenant foundation,
Platform Management,Super Admin,System Management,Maintenance Mode,Planned maintenance notification and execution,New Development,Medium,Operation management,
Platform Management,Super Admin,System Management,Audit Log,Recording and monitoring of important operations across all tenants,New Development,High,Security,
Common Services,Authentication & Authorization,Integrated Authentication,Integrated Authentication Platform,Single sign-on with OAuth 2.0/OpenID Connect,Major Extension,Highest,Multi-tenant foundation,
Common Services,Authentication & Authorization,Integrated Authentication,Multi-factor Authentication,2FA support via SMS/Email/Authentication app,New Development,High,Security,
Common Services,Authentication & Authorization,Integrated Authentication,Tenant Isolation,JWT token-based tenant context management,New Development,Highest,Multi-tenant foundation,
