カテゴリ,大分類,中分類,機能名,概要,現状,重要度,備考,追加機能フラグ
プラットフォーム管理,Super Admin,テナント管理,テナント一覧・検索,全テナント（ダンススタジオ）の表示・検索・フィルタリング,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,テナント管理,テナント登録・編集,新規テナントのオンボーディング・情報更新,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,テナント管理,テナント状態管理,アクティブ/非アクティブ/試用期間/解約済みのステータス管理,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,テナント管理,テナント削除・アーカイブ,データ保持ポリシーに基づく安全な削除処理,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,契約・課金管理,サブスクリプション管理,各テナントの契約プラン（Basic/Professional/Enterprise）管理,新規開発,低,SaaS収益基盤,
プラットフォーム管理,Super Admin,契約・課金管理,利用量モニタリング,ストレージ使用量・API呼び出し回数・アクティブユーザー数の監視,新規開発,低,SaaS収益基盤,
プラットフォーム管理,Super Admin,契約・課金管理,請求書発行,月次/年次請求書の自動生成と送付,新規開発,低,SaaS収益基盤,
プラットフォーム管理,Super Admin,契約・課金管理,支払い状況管理,入金確認・未払い警告・自動停止処理,新規開発,低,SaaS収益基盤,
プラットフォーム管理,Super Admin,プラットフォーム分析,全体利用統計,プラットフォーム全体のKPI（総会員数・総売上・アクティブ率等）,新規開発,低,業界ベンチマーク,
プラットフォーム管理,Super Admin,プラットフォーム分析,テナント比較分析,テナント間のパフォーマンス比較とベンチマーク,新規開発,低,業界ベンチマーク,
プラットフォーム管理,Super Admin,プラットフォーム分析,成長トレンド分析,新規テナント獲得率・解約率・収益成長率の可視化,新規開発,中,業界ベンチマーク,
プラットフォーム管理,Super Admin,プラットフォーム分析,異常検知,不正利用やシステム異常の早期発見,新規開発,中,セキュリティ,
プラットフォーム管理,Super Admin,システム管理,マスターデータ管理,共通マスター（地域・言語・通貨等）の一元管理,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,システム管理,機能フラグ管理,テナントごとの機能有効/無効制御,新規開発,低,マルチテナント基盤,
プラットフォーム管理,Super Admin,システム管理,メンテナンスモード,計画的メンテナンスの通知と実行,新規開発,中,運用管理,
プラットフォーム管理,Super Admin,システム管理,監査ログ,全テナントの重要操作履歴の記録と監視,新規開発,低,セキュリティ,
共通サービス,認証・認可,統合認証,統合認証基盤,OAuth 2.0/OpenID Connectによるシングルサインオン,大幅拡張,中,マルチテナント基盤,
共通サービス,認証・認可,統合認証,多要素認証,SMS/Email/認証アプリによる2FA対応,新規開発,高,セキュリティ,
共通サービス,認証・認可,統合認証,テナント分離,JWTトークンによるテナントコンテキストの管理,新規開発,中,マルチテナント基盤,
共通サービス,認証・認可,統合認証,権限管理,RBAC（Role-Based Access Control）による細かな権限制御,大幅拡張,中,マルチテナント基盤,
共通サービス,API Gateway,API管理,統一APIエンドポイント,/api/v1/{tenantId}/ 形式の標準化,大幅変更,中,マルチテナント基盤,
共通サービス,API Gateway,API管理,レート制限,テナント/ユーザー単位でのAPI利用制限,新規開発,高,SaaS収益基盤,
共通サービス,API Gateway,API管理,APIバージョニング,後方互換性を保った段階的アップグレード,新規開発,中,運用管理,
共通サービス,API Gateway,API管理,開発者ポータル,API仕様書とサンドボックス環境の提供,新規開発,中,開発者向け,
共通サービス,通知サービス,統合通知,統合通知基盤,Email/SMS/Push/LINE等の一元管理,拡張,高,マルチテナント対応,
共通サービス,通知サービス,統合通知,テンプレート管理,テナント共通/個別のメッセージテンプレート,新規開発,中,マルチテナント対応,
共通サービス,通知サービス,統合通知,配信スケジューリング,予約配信と最適送信時間の自動判定,新規開発,中,マーケティング支援,
共通サービス,通知サービス,統合通知,配信分析,開封率・クリック率・コンバージョン率の追跡,新規開発,中,マーケティング支援,
共通サービス,通知サービス,Slack連携,Slack完全統合,日報投稿・いいね・コメント機能のSlack連携,新規開発,高,2025年8月議事録要件,★追加
テナント機能,生徒管理【核心機能】,基本機能,生徒登録・編集,オンライン/店頭での新規登録・プロフィール管理,既存,最高,★核心機能,
テナント機能,生徒管理【核心機能】,基本機能,生徒種別管理,本会員/バーチャル会員/体験会員の区分管理,既存,最高,★核心機能,
テナント機能,生徒管理【核心機能】,基本機能,生徒ステータス管理,アクティブ/休会/退会/強制退会の状態遷移,既存,最高,★核心機能,
テナント機能,出席管理【核心機能】,出席確認,クラス出席管理,レッスンごとの出席・欠席・遅刻・公欠の管理,新規開発,最高,★核心機能,
テナント機能,出席管理【核心機能】,出席確認,リアルタイム出席確認,講師・受付スタッフによる即座の出席登録,新規開発,最高,★核心機能,
テナント機能,出席管理【核心機能】,出席分析,出席率追跡,生徒別・クラス別・期間別の出席率分析,新規開発,最高,★核心機能,
テナント機能,出席管理【核心機能】,出席分析,出席率アラート,出席率低下生徒の自動検出・スタッフ通知,新規開発,最高,★核心機能,
テナント機能,出席管理【核心機能】,出席履歴,出席履歴管理,全生徒の出席履歴データベース・検索・エクスポート,新規開発,最高,★核心機能,
テナント機能,会員管理,ファミリー機能,ファミリーアカウント連携,親子アカウントの紐付けと切り替え機能（MindBody参考）,新規開発,最高,2025年7月議事録重要機能,
テナント機能,会員管理,ファミリー機能,アカウントスイッチング,家族間でのアカウント切り替え・代理操作,新規開発,最高,2025年7月議事録重要機能,
テナント機能,会員管理,ファミリー機能,家族スケジュール共有,家族全員のレッスン予約・出席状況の統合表示,新規開発,高,ファミリー向け機能,
テナント機能,会員管理,高度機能,セグメント管理,属性・行動履歴による動的セグメント生成,既存,中,マーケティング,
テナント機能,会員管理,高度機能,会員ランク制度,利用頻度・金額によるランクアップ/ダウン,既存,中,ロイヤリティ,
テナント機能,会員管理,高度機能,ブラックリスト管理,名前・電話番号・住所での照合・理由記録,機能拡張,高,2025年6月議事録要件,
テナント機能,会員管理,高度機能,重複会員検出,メールアドレス変更時の同一人物判定,新規開発,高,2025年6月議事録要件,
テナント機能,レッスン・スケジュール管理【核心機能】,レッスン予約,マルチスタジオ予約,複数拠点をまたがる統合予約システム,既存,最高,★核心機能,
テナント機能,レッスン・スケジュール管理【核心機能】,レッスン予約,リアルタイム空き状況,WebSocketによる即時更新,既存,最高,基本機能,
テナント機能,レッスン・スケジュール管理【核心機能】,レッスン予約,ウェイティングリスト,キャンセル待ち自動繰り上げ,既存,最高,基本機能,
テナント機能,レッスン・スケジュール管理【核心機能】,レッスン予約,予約制限管理,会員種別による予約可能数の制御,既存,最高,運用管理,
テナント機能,レッスン・スケジュール管理【核心機能】,スケジュール管理,レッスンスケジュール作成,定期/不定期レッスンの柔軟な設定,既存,最高,★核心機能,
テナント機能,レッスン・スケジュール管理【核心機能】,スケジュール管理,講師アサイン,講師の稼働状況を考慮した自動/手動割り当て,既存,最高,★核心機能,
テナント機能,レッスン・スケジュール管理【核心機能】,スケジュール管理,クラス配属管理,生徒のレベル・希望に応じた適切なクラス配属,新規開発,最高,★核心機能,
テナント機能,予約・スケジュール,スケジュール管理,スタジオ稼働率最適化,AIによる需要予測と最適配置提案,新規開発,低,補助金対象AI機能,
テナント機能,予約・スケジュール,スケジュール管理,変更通知,スケジュール変更の自動通知,既存,中,UX向上,
テナント機能,支払い管理【核心機能】,決済処理,マルチ決済対応,クレジットカード（GMO/Stripe）・口座振替（JACS）・店頭決済,既存,最高,★核心機能,
テナント機能,支払い管理【核心機能】,決済処理,自動フェイルオーバー,決済失敗時の代替手段への自動切り替え,機能拡張,最高,★核心機能,
テナント機能,支払い管理【核心機能】,決済処理,決済情報非保持,PCI DSS準拠のトークン化による安全な決済,既存,最高,★核心機能,
テナント機能,支払い管理【核心機能】,決済処理,エリア別決済設定,渋谷/横浜（JACS利用）と群馬/栃木（群馬銀行）の使い分け,機能拡張,最高,★核心機能,
テナント機能,支払い管理【核心機能】,売上・請求管理,自動請求処理,月謝の自動引き落とし・失敗時の再試行,既存,最高,★核心機能,
テナント機能,支払い管理【核心機能】,売上・請求管理,柔軟な料金設定,キャンペーン価格・割引・ポイント利用の複雑な計算,既存,最高,★核心機能,
テナント機能,支払い管理【核心機能】,売上・請求管理,滞納管理,支払い遅延者の自動検出・督促・段階的対応,既存,最高,★核心機能,
